GEO,year,Total_Population,Population_0_14,Population_15_more,labour_force,inactive_adults,employment,unemployment,parttime,fulltime
Alberta,1976,1869287.0,343036.0,1526251.0,1029121.7612524214,497129.2387475786,989028.9849315672,40092.77632085418,145633.23475987773,843395.7501716898
Alberta,1977,1948263.0,344571.0,1603692.0,1085134.7402272564,518557.25977274356,1036455.5308368471,48679.209390409334,150392.68398484957,886062.8468519975
Alberta,1978,2022241.0,345699.0,1676542.0,1149942.5633187774,526599.4366812226,1095499.8735212386,54442.68979753867,162423.40166085155,933076.4718603869
Alberta,1979,2096966.0,349992.0,1746974.0,1221030.4924758084,525943.5075241916,1172576.7513469902,48453.74112881826,162175.7383675885,1010401.0129794016
Alberta,1980,2191029.0,360128.0,1830901.0,1296110.1245587312,534790.8754412688,1245901.3443183107,50208.78024042059,172248.07260318488,1073653.2717151258
Alberta,1981,2291104.0,371817.0,1919287.0,1387870.0485563788,531416.9514436212,1333987.0511459871,53882.997410391705,184243.79026343155,1149743.2608825555
Alberta,1982,2369827.0,381050.0,1988777.0,1428503.4596101467,560273.5403898533,1317648.9608583406,110854.49875180596,192377.93528007047,1125271.0255782702
Alberta,1983,2393587.0,385929.0,2007658.0,1439771.3547041006,567886.6452958994,1281357.2528014556,158414.10190264505,211334.89820050448,1070022.3546009508
Alberta,1984,2393907.0,385765.0,2008142.0,1449172.3114502958,558969.6885497042,1283781.6335961546,165390.6778541411,220914.41619904077,1062867.2173971138
Alberta,1985,2404490.0,384229.0,2020261.0,1466410.4909437736,553850.5090562264,1323013.1763323795,143397.3146113942,229218.7629166293,1093794.4134157503
Alberta,1986,2432930.0,383621.0,2049309.0,1488021.1601734788,561287.8398265212,1339068.2439372127,148952.91623626582,227362.80564000018,1111705.4382972128
Alberta,1987,2440877.0,383440.0,2057437.0,1488389.0292508013,569047.9707491987,1346667.8309780264,141721.19827277484,235772.43382305262,1110895.3971549738
Alberta,1988,2456614.0,382814.0,2073800.0,1508523.4327466444,565276.5672533556,1387927.819459711,120595.6132869333,240984.78229357436,1146943.0371661365
Alberta,1989,2498325.0,388490.0,2109835.0,1534024.3821247893,575810.6178752107,1424308.218257448,109716.16386734125,246500.8347835863,1177807.3834738617
Alberta,1990,2547788.0,395155.0,2152633.0,1561077.7759805976,591555.2240194024,1452997.6113328189,108080.16464777883,247156.15808838294,1205841.453244436
Alberta,1991,2592306.0,400358.0,2191948.0,1590607.9928587792,601340.0071412208,1459413.0833214456,131194.90953733356,253351.64018835622,1206061.4431330895
Alberta,1992,2632672.0,407328.0,2225344.0,1607029.2559337108,618314.7440662892,1454976.8838537524,152052.37207995853,270614.5250226981,1184362.358831054
Alberta,1993,2667292.0,412108.0,2255184.0,1618590.9377571086,636593.0622428914,1463431.1312916982,155159.80646541048,284587.31370534527,1178843.8175863528
Alberta,1994,2700606.0,413624.0,2286982.0,1647647.8875139493,639334.1124860507,1503169.6074147553,144478.280099194,292124.9149016702,1211044.692513085
Alberta,1995,2734519.0,412458.0,2322061.0,1679194.8028926915,642866.1971073085,1547725.8463684765,131468.95652421511,300026.8923782137,1247698.953990263
Alberta,1996,2775133.0,412073.0,2363060.0,1708226.594843249,654833.4051567509,1590634.5678815155,117592.02696173359,299169.8936624752,1291464.6742190402
Alberta,1997,2829848.0,412660.0,2417188.0,1743950.840615394,673237.1593846059,1641681.2465277913,102269.59408760276,306855.8677112837,1334825.3788165073
Alberta,1998,2899066.0,414765.0,2484301.0,1804276.9441699511,680024.0558300489,1703512.0860811062,100764.85808884505,323920.4091439015,1379591.6769372048
Alberta,1999,2952692.0,415510.0,2537182.0,1842288.0653543072,694893.9346456928,1737924.0945756144,104363.97077869279,332323.69845500455,1405600.3961206097
Alberta,2000,3004198.0,416708.0,2587490.0,1869594.3924703605,717895.6075296395,1776788.1235144099,92806.26895595068,327079.23955842294,1449708.883955987
Alberta,2001,3058554.0,416172.0,2642382.0,1912763.4899553019,729618.5100446981,1822474.2838712865,90289.20608401527,329028.31379677565,1493445.9700745107
Alberta,2002,3128757.0,419734.0,2709023.0,1974389.5853585587,734633.4146414413,1868607.7381812686,105781.84717729034,332597.61134944257,1536010.1268318256
Alberta,2003,3183291.0,422753.0,2760538.0,2029160.3098964903,731377.6901035097,1925375.5887939124,103784.72110257768,346930.33246879064,1578445.256325122
Alberta,2004,3238817.0,424676.0,2814141.0,2068362.4328128393,745778.5671871607,1973570.7437471624,94791.68906567697,355481.0545064368,1618089.6892407257
Alberta,2005,3321839.0,429538.0,2892301.0,2103219.4367199834,789081.5632800166,2020518.6320237466,82700.80469623674,347624.05831651064,1672894.5737072357
Alberta,2006,3421435.0,437694.0,2983741.0,2198928.130140751,784812.8698592489,2121145.249028824,77782.88111192755,340813.93972459104,1780331.3093042325
Alberta,2007,3514151.0,445369.0,3068782.0,2287895.7020772477,780886.2979227523,2203597.2024641447,84298.49961310289,346609.58586416015,1856987.6165999847
Alberta,2008,3595875.0,453440.0,3142435.0,2349280.754035063,793154.2459649369,2258367.4015567363,90913.35247832657,362349.13672155875,1896018.2648351775
Alberta,2009,3679010.0,461671.0,3217339.0,2398640.47388345,818698.52611655,2236325.2147005796,162315.25918287042,398773.1028795019,1837552.1118210775
Alberta,2010,3732104.0,468309.0,3263795.0,2388430.3705632933,875364.6294367067,2232939.114891048,155491.25567224523,395172.66768951,1837766.447201538
Alberta,2011,3787705.0,473459.0,3314246.0,2448583.774139866,865662.2258601342,2313758.6644330556,134825.10970681062,396732.0336809068,1917026.6307521483
Alberta,2012,3871947.0,481678.0,3390269.0,2505777.183186167,884491.8168138331,2387069.7712967824,118707.41188938433,391546.32611214276,1995523.44518464
Alberta,2013,3978532.0,491839.0,3486693.0,2557358.962379294,929334.037620706,2438854.4527861327,118504.50959316123,390200.8898857086,2048653.5629004242
Alberta,2014,4081271.0,501828.0,3579443.0,2608500.150957093,970942.8490429069,2483131.0048292265,125369.1461278662,412112.1570738614,2071018.8477553653
Alberta,2015,4150147.0,509665.0,3640482.0,2672907.8905868237,967574.1094131763,2511018.9934870694,161888.8970997546,433821.9728978863,2077197.0205891833
Alberta,2016,4195427.0,518900.0,3676527.0,2662887.6723515354,1013639.3276484646,2445210.0610166425,217677.61133489307,462540.1416648439,1982669.9193517985
Alberta,2017,4237310.0,526888.0,3710422.0,2675330.764097539,1035091.2359024612,2461263.697042203,214067.0670553354,462774.902800808,1998488.7942413946
Alberta,2018,4292556.0,534835.0,3757721.0,2700040.450171771,1057680.549828229,2521843.769800226,178196.68037154488,453993.6150613191,2067850.1547389065
Alberta,2019,4355377.0,541729.0,3813648.0,2734089.9089176552,1079558.0910823448,2545783.8744011233,188306.03451653186,462275.13727904356,2083508.7371220798
Alberta,2020,4407495.0,545969.0,3861526.0,2665044.505335795,1196481.4946642048,2360719.1458355607,304325.3595002346,425121.7700141767,1935597.3758213841
Alberta,2021,4431531.0,542259.0,3889272.0,2710724.9593784246,1178547.0406215754,2481461.666420532,229263.29295789264,465559.87559084,2015901.7908296923
Alberta,2022,4510747.0,543265.0,3967482.0,2767611.0064287195,1199870.9935712805,2608213.2872370332,159397.71919168625,483215.43390332995,2124997.8533337023
Alberta,2023,4684514.0,552145.0,4132369.0,2904701.3066550675,1227667.6933449325,2729560.9393486297,175140.36730643784,508120.5140006525,2221440.4253479773
British Columbia,1976,2533899.0,407970.0,2125929.0,1313436.078085844,812492.9219141561,1203087.2707544656,110348.80733137825,180443.72665778856,1022643.544096677
British Columbia,1977,2570315.0,401106.0,2169209.0,1342216.5300831767,826992.4699168233,1230065.6948576286,112150.83522554811,187606.20800515215,1042459.4868524765
British Columbia,1978,2615162.0,394302.0,2220860.0,1397432.2767357256,823427.7232642744,1281771.7715362608,115660.50519946453,191042.54167564888,1090729.2298606122
British Columbia,1979,2665238.0,392569.0,2272669.0,1443677.9360354214,828991.0639645786,1332559.666244594,111118.26979082747,207974.4941042345,1124585.1721403592
British Columbia,1980,2745861.0,398164.0,2347697.0,1518227.0018906444,829469.9981093556,1416576.083986718,101650.91790392662,235298.723115751,1181277.360870967
British Columbia,1981,2826558.0,406140.0,2420418.0,1582665.5063004845,837752.4936995155,1474650.6988691438,108014.80743134065,245073.77078355092,1229576.9280855928
British Columbia,1982,2876513.0,411160.0,2465353.0,1593843.6924246426,871509.3075753574,1399690.2843626211,194153.4080620214,249344.13014298116,1150346.15421964
British Columbia,1983,2907502.0,413407.0,2494095.0,1609761.7870440283,884333.2129559717,1386289.6727531066,223472.11429092186,271140.6409976113,1115149.0317554954
British Columbia,1984,2947181.0,413581.0,2533600.0,1630249.986272536,903350.013727464,1385510.7648942985,244739.22137823747,266849.9650407248,1118660.7998535738
British Columbia,1985,2975131.0,410703.0,2564428.0,1659791.9257773974,904636.0742226026,1422396.875237094,237395.0505403033,275975.9758909833,1146420.8993461106
British Columbia,1986,3003621.0,405582.0,2598039.0,1698607.2590325759,899431.7409674241,1481377.71622509,217229.54280748605,293788.82473232434,1187588.8914927656
British Columbia,1987,3048651.0,407947.0,2640704.0,1744881.116179685,895822.8838203149,1534407.7027082115,210473.41347147356,294516.22108448256,1239891.4816237292
British Columbia,1988,3114761.0,413654.0,2701107.0,1785505.4240078544,915601.5759921456,1602212.0325031006,183293.39150475393,306503.25021703186,1295708.7822860687
British Columbia,1989,3196725.0,423125.0,2773600.0,1855566.951490278,918033.0485097221,1688242.155688623,167324.79580165498,297299.3904326179,1390942.7652560049
British Columbia,1990,3292111.0,434230.0,2857881.0,1910617.2938141967,947263.7061858033,1749727.8339705274,160889.45984366917,311962.6272278257,1437765.2067427018
British Columbia,1991,3373787.0,444184.0,2929603.0,1959883.7006188862,969719.2993811138,1765743.881299948,194139.81931893804,342275.8266098849,1423468.0546900628
British Columbia,1992,3468802.0,459306.0,3009496.0,2014092.3529994797,995403.6470005203,1808926.5609435786,205165.7920559012,352176.92784633057,1456749.6330972484
British Columbia,1993,3567772.0,473453.0,3094319.0,2063254.724953679,1031064.2750463211,1863214.4250505317,200040.29990314716,365558.25672837306,1497656.1683221585
British Columbia,1994,3676075.0,485248.0,3190827.0,2141138.4475258263,1049688.5524741737,1946292.4863553157,194845.96117051048,404993.9487200822,1541298.5376352335
British Columbia,1995,3777390.0,493739.0,3283651.0,2175669.004862145,1107981.995137855,1991469.995202948,184199.00965919718,394634.34975451103,1596835.645448437
British Columbia,1996,3874317.0,499537.0,3374780.0,2214492.0164235085,1160287.9835764915,2022016.7905314234,192475.2258920851,405843.8388716868,1616172.9516597365
British Columbia,1997,3948583.0,501766.0,3446817.0,2261379.453418907,1185437.5465810932,2069750.489666586,191628.96375232062,430028.15325563547,1639722.3364109509
British Columbia,1998,3983113.0,497057.0,3486056.0,2263674.6506363195,1222381.3493636805,2064009.4346594305,199665.21597688913,442216.33080486796,1621793.1038545626
British Columbia,1999,4011375.0,490423.0,3520952.0,2290502.0897990484,1230449.9102009516,2102256.3390038847,188245.7507951639,450535.6843162564,1651720.6546876281
British Columbia,2000,4039230.0,483351.0,3555879.0,2304610.5944834067,1251268.4055165933,2139190.6094415924,165419.9850418147,440144.7116363938,1699045.8978051983
British Columbia,2001,4076896.0,476998.0,3599898.0,2304688.405152603,1295209.594847397,2125831.134418065,178857.27073453777,446258.98726632894,1679572.147151736
British Columbia,2002,4100504.0,472372.0,3628132.0,2357367.477851787,1270764.522148213,2154949.9432877856,202417.53456400137,491079.0980448877,1663870.8452428982
British Columbia,2003,4124447.0,470176.0,3654271.0,2395878.98891686,1258392.01108314,2202951.0957118534,192927.8932050065,492014.8047872006,1710936.290924653
British Columbia,2004,4155630.0,467435.0,3688195.0,2405977.623061538,1282217.3769384618,2234648.316081832,171329.3069797061,468418.8540899226,1766229.4619919094
British Columbia,2005,4196076.0,465632.0,3730444.0,2439817.1930650035,1290626.8069349965,2297666.2155644507,142150.97750055234,473529.3375590642,1824136.8780053866
British Columbia,2006,4241793.0,465216.0,3776577.0,2484114.011046046,1292462.988953954,2362887.3237704225,121226.68727562373,486115.41144148674,1876771.9123289357
British Columbia,2007,4290987.0,466422.0,3824565.0,2532508.6147438134,1292056.3852561866,2421754.9289456233,110753.68579819011,498720.8466329823,1923034.0823126407
British Columbia,2008,4349338.0,467456.0,3881882.0,2579264.136941972,1302617.8630580278,2454830.233036658,124433.90390531444,500340.94415811327,1954489.2888785447
British Columbia,2009,4410513.0,468150.0,3942363.0,2610660.9943844355,1331702.0056155645,2406570.82564041,204090.16874402543,529536.0648370066,1877034.7608034036
British Columbia,2010,4465557.0,467266.0,3998291.0,2630170.301645787,1368120.698354213,2426167.1401625774,204003.16148320993,541349.9843950437,1884817.155767534
British Columbia,2011,4503819.0,463169.0,4040650.0,2637004.0670243637,1403645.9329756363,2436353.4694515187,200650.59757284494,553191.9728751091,1883161.4965764093
British Columbia,2012,4570866.0,459565.0,4111301.0,2692671.621472614,1418629.378527386,2506853.139287919,185818.48218469488,544943.5544166011,1961909.5848713177
British Columbia,2013,4634943.0,457716.0,4177227.0,2713382.724241659,1463844.275758341,2531818.3175868043,181564.40665485463,543902.1886971511,1987916.1288896531
British Columbia,2014,4712691.0,457978.0,4254713.0,2735581.3424013793,1519131.6575986207,2564145.853451723,171435.48894965614,554672.2438739686,2009473.609577754
British Columbia,2015,4765472.0,460014.0,4305458.0,2768619.5307047907,1536838.4692952093,2598392.224216624,170227.3064881665,529164.2072518144,2069228.01696481
British Columbia,2016,4861269.0,466179.0,4395090.0,2868425.19935897,1526664.80064103,2695259.892789038,173165.306569932,575627.1191352885,2119632.7736537494
British Columbia,2017,4934202.0,470694.0,4463508.0,2950853.8569369726,1512654.1430630274,2795785.1979281115,155068.6590088612,596967.109875654,2198818.088052457
British Columbia,2018,5020979.0,475369.0,4545610.0,2985826.9651396717,1559783.0348603283,2846701.1718995525,139125.79324011927,603427.4185941769,2243273.753305376
British Columbia,2019,5111022.0,480619.0,4630403.0,3070907.8458896033,1559495.1541103967,2922201.638581445,148706.20730815802,635679.0215406922,2286522.617040753
British Columbia,2020,5176101.0,484863.0,4691238.0,3013744.9050197685,1677493.0949802315,2738413.350023257,275331.5549965113,575750.0771182919,2162663.2729049656
British Columbia,2021,5226665.0,485173.0,4741492.0,3108284.5746339858,1633207.4253660142,2905443.9803515114,202840.59428247434,635666.0763580255,2269777.9039934864
British Columbia,2022,5357486.0,487520.0,4869966.0,3169401.0252094194,1700564.9747905806,3023974.436869129,145426.58834029041,627424.9516880652,2396549.485181064
British Columbia,2023,5531553.0,488733.0,5042820.0,3279213.912282277,1763606.087717723,3136142.344675884,143071.5676063925,627862.3303106482,2508280.0143652363
Manitoba,1976,1031758.0,180697.0,851061.0,525954.832563132,325106.16743686795,501395.6574430824,24559.175120049684,70919.10346258669,430476.5539804957
Manitoba,1977,1037369.0,176897.0,860472.0,534669.1077952493,325802.8922047507,504508.92606222816,30160.18173302113,76626.25111321708,427882.6749490111
Manitoba,1978,1040881.0,172410.0,868471.0,547046.6728766579,321424.3271233421,511445.81645003473,35600.856426623126,80208.92928349474,431236.88716654
Manitoba,1979,1037272.0,166790.0,870482.0,552871.2435275348,317610.75647246523,522777.66984650935,30093.573681025402,83303.05419034962,439474.6156561597
Manitoba,1980,1034435.0,161959.0,872476.0,560960.0653143527,311515.93468564725,530249.2466712694,30710.81864308339,88349.37678957244,441899.8698816969
Manitoba,1981,1035545.0,159613.0,875932.0,570629.3644845568,305302.63551544317,536508.7076088969,34120.65687565997,89956.92491645289,446551.7826924439
Manitoba,1982,1045224.0,160268.0,884956.0,575813.249857418,309142.750142582,526332.1258164835,49481.12404093441,96517.39384296192,429814.7319735215
Manitoba,1983,1059752.0,161567.0,898185.0,590931.2384664334,307253.76153356663,534881.5986318804,56049.639834552945,101038.05949366638,433843.53913821396
Manitoba,1984,1071810.0,162194.0,909616.0,599140.9036231657,310475.0963768343,548062.0049649625,51078.89865820317,103051.62536204707,445010.3796029154
Manitoba,1985,1082495.0,162212.0,920283.0,606736.5588287048,313546.44117129524,556479.2060634918,50257.352765212985,101444.74665918398,455034.45940430777
Manitoba,1986,1091552.0,161173.0,930379.0,620049.2572020045,310329.74279799545,572956.787859844,47092.46934216051,106969.35037941141,465987.43748043256
Manitoba,1987,1098373.0,161992.0,936381.0,624908.7407641237,311472.25923587626,578139.2730744166,46769.46768970717,110168.0794468657,467971.19362755085
Manitoba,1988,1102152.0,162007.0,940145.0,627818.8222941374,312326.17770586256,579387.1390745945,48431.68321954294,111900.4000454686,467486.7390291259
